JURISDIC_2,JURISDIC,total_collisions,pct_fatal,pct_serious,pct_minor,pct_property,pct_unknown,Col_per_licDR,fatal_perLicDr,serious_injry_perLicDr,,,,,,,,,,,,,,,,,,,
Adams,wa1,497,2.01,2.41,25.15,66.80,3.62,342.4,7.58,10.33,,,,,,,,,,,,,,,,,,,
Asotin,wa2,225,0.44,1.33,21.33,71.11,5.78,132.6,0.59,2.36,,,,,,,,,,,,,,,,,,,
Benton,wa3,3012,0.30,1.06,25.83,70.95,1.86,209.8,0.77,2.51,,,,,,,,,,,,,,,,,,,
Chelan,wa4,1208,0.50,2.07,28.15,67.55,1.74,199.7,0.99,5.46,,,,,,,,,,,,,,,,,,,
Clallam,wa5,824,0.73,2.18,30.70,63.23,3.16,135.5,0.99,3.62,,,,,,,,,,,,,,,,,,,
Clark,wa6,4907,0.43,2.51,34.36,59.22,3.48,133.1,0.65,4.15,,,,,,,,,,,,,,,,,,,
Columbia,wa7,82,1.22,6.10,19.51,71.95,1.22,264,3.22,19.32,,,,,0.43,2.51,34.36,59.22,3.48,,,,,,,,,,
Cowlitz,wa8,1537,0.46,2.28,28.43,67.47,1.37,187.9,0.86,4.77,,,,,1.22,6.10,19.51,71.95,1.22,,,,,,,,,,
Douglas,wa9,551,0.54,1.45,28.13,66.42,3.45,186.8,1.02,3.73,,,,,0.46,2.28,28.43,67.47,1.37,,,,,,,,,,
Ferry,wa10,78,2.56,3.85,43.59,48.72,1.28,140.6,3.61,7.21,,,,,0.54,1.45,28.13,66.42,3.45,,,,,,,,,,
Franklin,wa11,1207,0.41,1.49,29.00,67.36,1.74,200.9,0.83,3.99,,,,,2.56,3.85,43.59,48.72,1.28,,,,,,,,,,
Garfield,wa12,50,0.00,0.00,22.00,76.00,2.00,260.1,0.00,0.00,,,,,0.41,1.49,29.00,67.36,1.74,,"round(P8:,2)",,,,,,,,
Grant,wa13,1514,0.86,1.32,25.76,67.57,4.49,228.4,2.56,5.13,,,,,0.00,0.00,22.00,76.00,2.00,,,,,,,,,,
Grays Harbor,wa14,1083,0.46,3.79,26.32,66.48,2.95,197.6,0.91,8.76,,,,,0.86,1.32,25.76,67.57,4.49,,,,,,,,,,
Island,wa15,706,1.27,1.27,29.04,64.73,3.68,97.6,1.24,2.07,,,,,0.46,3.79,26.32,66.48,2.95,,,,,,,,,,
Jefferson,wa16,436,1.83,4.13,28.90,63.07,2.06,156.6,2.87,8.26,,,,,1.27,1.27,29.04,64.73,3.68,,,,,,,,,,
